NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,11,Rondônia,RO,1100015,Alta Floresta D'Oeste,"7.067,13","7.067,13",100,"-11,93","-62,00",sim,,,,
Norte,11,Rondônia,RO,1100023,Ariquemes,"4.426,57","4.426,57",100,"-9,91","-63,03",sim,,,,
Norte,11,Rondônia,RO,1100031,Cabixi,"1.314,35","1.314,35",100,"-13,49","-60,54",sim,,LEGENDA,,
Norte,11,Rondônia,RO,1100049,Cacoal,"3.793,00","3.793,00",100,"-11,44","-61,45",sim,,1,NM_REGIAO,Nome da Região
Norte,11,Rondônia,RO,1100056,Cerejeiras,"2.783,30","2.783,30",100,"-13,19","-60,82",sim,,2,CD_UF,Geocódigo da Unidade da Federação
Norte,11,Rondônia,RO,1100064,Colorado do Oeste,"1.451,06","1.451,06",100,"-13,12","-60,54",sim,,3,NM_UF,Nome da Unidade da Federação
Norte,11,Rondônia,RO,1100072,Corumbiara,"3.060,32","3.060,32",100,"-13,00","-60,94",sim,,4,SIGLA,Sigla da Unidade da Federação
Norte,11,Rondônia,RO,1100080,Costa Marques,"4.987,18","4.987,18",100,"-12,44","-64,23",sim,,5,CD_MUN,Geocódigo do município
Norte,11,Rondônia,RO,1100098,Espigão D'Oeste,"4.518,04","4.518,04",100,"-11,53","-61,02",sim,,6,NM_MUN,Nome do município
Norte,11,Rondônia,RO,1100106,Guajará-Mirim,"24.856,88","24.856,88",100,"-10,79","-65,34",sim,,7,AREA_TOT,Área Total do município
Norte,11,Rondônia,RO,1100114,Jaru,"2.944,13","2.944,13",100,"-10,43","-62,47",sim,,8,AREA_INT,Área do município inclusa na Amazônia Legal
Norte,11,Rondônia,RO,1100122,Ji-Paraná,"6.896,65","6.896,65",100,"-10,88","-61,96",sim,,9,PERC_INT,Percentual da área do município inclusa na Amazônia Legal
Norte,11,Rondônia,RO,1100130,Machadinho D'Oeste,"8.509,27","8.509,27",100,"-9,43","-62,01",sim,,10,LAT_SEDE,Latitude da sede do Município
Norte,11,Rondônia,RO,1100148,Nova Brasilândia D'Oeste,"1.703,01","1.703,01",100,"-11,72","-62,32",sim,,11,LNG_SEDE,Longitude da sede do Município
